movie_id	audience_score	critic_score	actor_names	actor_links	synopsis	In Theaters	Genre	Studio	Directed By	Runtime	Box Office	Rating	Written By
300	89%	60%	Gerard Butler,Lena Headey,David Wenham,Rodrigo Santoro,Andrew Pleavin,Andrew Tiernan,Michael Fassbender,Tom Wisdom,Stephen McHattie,Giovani Antonio Cimmino,Bonnie Mak,Amélie Sorel,Caroline Aspirot,Gina Gagnon,Tania Trudell,Stephanie Aubrey,Sabrina-Jasmine Guilbault,Manny Cortez Tuazon,Atif Siddiqi,Camille Rizkallah,Trudi Hanley,Neon Cobran,Arthur Holden,Greg Kramer,Michael Sinelnikoff,John Dunn-Hill,Loucas Minchillo,Nicholas Minchillo,Tom Rack,James Bradford,Tyrone Benskin,Robert Maillet,Frédéric Smith,Patrick Sabongui,Stewart Myiow,Veronique-Natale Szalankiewicz,Maeva Nadon,David J. Francis,David Thibodeau,David Schaap,Jean Michel Paré,Vervi Mauricio,Andréanne Ross,Ariadne Bourbonniere,Isabelle Fournel,Elisabeth Etienne,Danielle Hubbard,Ruan Vibegaard,David Lapommeray,Tyler Neitzel,Isabelle Champeau,Sara Giacalone,Mercedes Leggett,Chanelle Lamothe,Dominic West,Eli Snyder,Tim Connolly,Neil Napier,Stuart Myiow,Dylan Scott Smith,Maurizio Terrazzano,Andrew Shaver,Robin Wilcock,Kent McQuaid,Sandrine Mérette-Attiow,Marcel Jeannin,Jere Gillis,Jeremy Thibodeau,Geneviéve Guilbault,Alex Ivanovici,Dave Lapommeray,Leon Laderach,Charles Papasoff,Vincent Regan,Craig Kelly,Stephanie Aubry,Marie-Julie Rivest,Alexandra Beaton,Stéphania Gambarova,Robert Paradis,Peter Mensah,Kwasi Songui,Sébastian St Germain,Cindy,Dennis St John,Gary A. Hecker	NA	NA	Mar 9, 2007 wide	Action & Adventure,Drama	Warner Bros. Pictures	Zack Snyder	116 minutes	$210,500,000	R (for graphic battle sequences throughout, some sexuality and nudity)	Michael Gordon, Kurt Johnstad, Zack Snyder, Michael B. Gordon
300: Rise of an Empire	51%	43%	Sullivan Stapleton,Eva Green,Lena Headey,Rodrigo Santoro,David Wenham,Andrew Tiernan,Andrew Pleavin,Hans Matheson,Callan Mulvey,Jack O'Connell,Igal Naor,Peter Mensah,Ben Turner,Ashraf Barhom,Christopher Sciueref,Steven Cree ,Caitlin Carmichael,Kevin Fry,David Sterne,Clive Leviev-Sawyer,Christopher Boyer,Fred Ochs,Price Carson,John Michael Herndon,David Pevsner,Dimo Alexandrov Alexiev,Gregor Truter,Vincent Walsh,Nick Court,Anthony Valentine,Mark Killeen,Alexander Nikolov Dimitrov,Atanas Srebrev,Luke Roberts,George Georgiou,Stefan Nikolaev Ivanov,Farshad Farahat,Daniel Rashev,Dimitar Martinov,Peter Ferdinando	NA	NA	Mar 7, 2014 wide	Action & Adventure,Drama	Warner Bros. Pictures	Noam Murro	103 minutes	$91,024,535	R (for strong sustained sequences of stylized bloody violence throughout, a sex scene, nudity and some language)	Zack Snyder, Kurt Johnstad
31	35%	49%	Sheri Moon Zombie,Malcolm McDowell,Meg Foster,Elizabeth Daily,Sandra Rosko ,Richard Brake,Lawrence Hilton-Jacobs,Jeff Daniel Phillips,Daniel Roebuck,Judy Geeson,Tracey Walter,Ginger Lynn Allen,Jane Carr,Devin Sidell,David Ury,Lew Temple,Torsten Voges,Pancho Moler,Kevin Jackson,Michael "Red Bone" Alcott,Esperanza America,Andrea Dora,Jermain Hollman,Gabe Pimental	NA	NA	Oct 21, 2016 limited	Horror	Bow and Arrow Entertainment	Rob Zombie	103 minutes	$779,820	R (for strong bloody horror violence, pervasive language, sexual content and drug use)	Rob Zombie
3 Generations	43%	32%	Elle Fanning,Naomi Watts,Susan Sarandon,Tate Donovan,Linda Emond,Maria Dizzia,Sam Trammell,Andrew Polk,Marcos Gonzalez,Ira Jackson,Antonio Ortiz,Marquis Rodriguez,Tessa Albertson,Carlos Jordan,Gameela Wright,Lucca De Oliveira,Francesca Keller,Jinn S. Kim,Elle Winter,Susan Blackwell,Maxwell Simkins,Matta Marie Conforti,Eva Kaminsky	NA	NA	May 5, 2017 limited	Comedy,Drama	The Weinstein Company	Gaby Dellal	87 minutes	$66,371	PG-13 (for mature thematic content, some sexual references and language)	Nikole Beckwith, Gaby Dellal
Three Idiots	92%	100%	Aamir Khan,Boman Irani,Kareena Kapoor,Madhavan,Sharman Joshi,Omi,Mona Singh,Omi Vaidya,Javed Jaffrey,Amardeep Jha,Farida Dadi,Rahul Kumar	NA	NA	Dec 1, 2009 wide	Comedy,Drama	Big Pictures	Rajkumar Hirani	170 minutes	$6,500,000	PG-13	Rajkumar Hirani, Abhijat Joshi
42nd Street	74%	95%	Warner Baxter,Bebe Daniels,George Brent,Ruby Keeler,Dick Powell,Guy Kibbee,Una Merkel,Ginger Rogers,George E. Stone,Harry Akst,Harry Warren,Al Dubin,Robert McWade,Ned Sparks,Eddie Nugent,Allen Jenkins,Clarence Nordstrom,Henry B. Walthall,Albert Akst,Toby Wing,Pat Wing,Tom Kennedy,Busby Berkeley,Wallis Clark,Jack LaRue,Alexis Dubin,Louise Beavers,Dave O'Brien,Patricia Ellis,George Irving,Charles Lane,Milton Kibbee,Rolfe Sedan,Harry Seymour,Gertrude Keeler,Helen Keeler,Joan Barclay,Ann Hovey,Renee Whitney,Dorothy Coonan Wellman,Barbara Rogers,June Glory,Jayne Shadduck,Adele Lacey,Loretta Andrews,Anne Hovey,Margaret La Marr,Mary Jane Halsey,Ruth Eddings,Edna Callaghan,Patricia Farnum,Maxine Cantway,Lynn Browning,Donna Mae Roberts,Lorena Layson,Alice Jans,Eve Marcy,Dorothy White,Evelyn Joice,Agnes Ray,Grace Tobin,Kermit Maynard,Lyle Talbot	NA	NA	Mar 9, 1933 wide	Musical & Performing Arts	MGM Home Entertainment	Lloyd Bacon	89 minutes	NA	NR	Rian James, James Seymour, Whitney Bolton
4.3.2.1	42%	34%	Emma Roberts,Tamsin Egerton,Sean Pertwee,Jacob Anderson,Ophelia Lovibond,Noel Clarke,Shanika Warren-Markland,Michelle Ryan,Andrew Harwoods Mills,Adam Deacon,Ashley Thomas,Steven Cree ,Ben Miller,Helen McCrory,Kevin Smith,Alexander Siddig,Mandy Patinkin	NA	NA	NA	Drama,Mystery & Suspense	Unstoppable Entertainment	Noel Clarke, Mark Davis	117 minutes	NA	NR	Noel Clarke
49th Parallel	77%	89%	Richard George,Eric Portman,Raymond Lovell,Niall MacGinnis,Peter Moore,Leslie Howard,Raymond Massey,Laurence Olivier,Anton Walbrook,Glynis Johns,Finlay Currie,Ley On,Eric Clavering,Charles Victor,John Chandos,Basil Appleby,Theodore Salt,Frederick Piper,Tawera Moana,Charles Rolfe,O.W. Fonger,Richard Epcar	NA	NA	Oct 8, 1941 wide	Action & Adventure,Classics,Drama,Mystery & Suspense	NA	Michael Powell	105 minutes	NA	NR	Emeric Pressburger, Rodney Ackland
4	63%	74%	Konstantin Murzenko,Anatoliy Adoskin,Svetlana Vovchenko,Aleksei Khvostenko,Marina Vovchenko,Gennady Votrin,Irina Vovchenko,Leonid Fedorov,Yury Laguta,Sergey Shnurov	NA	NA	Apr 7, 2006 wide	Art House & International,Drama,Special Interest	Leisure Time	Ilya Khrzhanovsky	126 minutes	NA	NR	Vladimir Sorokin
4 Months, 3 Weeks and 2 Days	86%	96%	Anamaria Marinca,Laura Vasiliu,Vlad Ivanov,Alex Protcean,Alexandru Potocean,Luminita Gheorghiu,Adi Carauleanu,Liliana Mocanu,Laura Vasilu,Tania Popa,Teo Corban,Cerasela Iosifescu,Doru Ana,Eugenia Bosânceanu,Ioan Sabdaru,Cristina Buburuz,Marioara Sterian,Emil Coseru,Georgeta Paduraru Burdujan,Geo Dobre,Mihaela Alexandru,Costica Babu,Constantin Bojog,Sanziana Tarta,Catalina Harabagiu	NA	NA	May 17, 2007 wide	Drama	IFC First Take	Cristian Mungiu	113 minutes	$1,200,000	R	Cristian Mungiu
