movie_id	audience_score	critic_score	actor_names	actor_links	synopsis	In Theaters	Genre	Studio	Directed By	Runtime	Box Office	Rating	Written By
A Thousand Kisses Deep	33%	8%	Emilia Fox,Dougray Scott,David Warner,Jodie Whittaker	NA	NA	NA	Mystery & Suspense	Tomori Films	Dana Lustig	84 minutes	NA	NR	NA
A Thousand Years of Good Prayers	54%	79%	Henry O,Angela Dierdorff Petro,Faye Yue,Feihong Yu,Pasha D. Lychnikoff,Pavel Lychnikoff,Vida Ghahremani,Liz Mathews,Ryan Sanson,Trent Sweeney,Patrick Treadway,Lonny W. Waddle	NA	NA	Sep 19, 2008 limited	Art House & International,Drama,Romance	Magnolia Pictures	Wayne Wang	83 minutes	NA	NR	Yiyun Li
A Wake In Providence	25%	70%	Vincent Pagano,Victoria Rowell,Mike Pagano,Adrienne Barbeau,Billy Van Zandt,John Mariano,Dan Lauria,Mark DeCarlo,Jane Milmore,Lisa Raggio,Kaye Kingston,Louis Guss,Micole Mercurio,Sam Coppola,Magda Harout,John Capodice,Esther Reaves Grande,Travis J. Feretic,Sarah Thompson,Leigh-Allyn Baker,Michele Maika,Thomas Grigsby,Jerry Vale	NA	NA	Apr 15, 2005 limited	Comedy,Special Interest	Indican Pictures	Rosario Roveto Jr.	94 minutes	NA	R (for language and some sexual content)	Jane Milmore, Mike Pagano, Vincent Pagano, Billy Van Zandt
A Walk Among the Tombstones	53%	66%	Liam Neeson,Dan Stevens (IV) ,David Harbour,Boyd Holbrook,Patrick F. McDade,Laura Birn,Luciano Acuna Jr.,Hans Marrero,Adam David Thompson,Adam Thompson,Kim Rosen,Eric Nelsen,Jon Goracy,Razane Jammal,Stephanie Andujar,Al Nazemian,Sophia Frank,Susham Bedi,Purva Bedi,Novella Nelson,Marielle Heller,Astro,Frank DeJulio,Olafur Darri Olafsson,Mark Consuelos,Natia Dune,Genevieve Adams,Liana DeLaurent,Sebastian Roche,Danielle Rose Russell,David Anzuelo,Samuel Mercedes,Mike Figueroa,Mike Carlsen,Leon Addison Brown,Damion Omar Lee,Jeremie Harris,Jolly Abraham,Nina Polan,Briana Marin,Arthur Gerunda,Fabrizio Brienza,Dennis Funny,Whitney Able,Chinasa Ogbuagu,Louise G. Colón	NA	NA	Sep 19, 2014 wide	Action & Adventure,Drama	Universal Studios	Scott Frank	114 minutes	NA	R (for strong violence, disturbing images, language and brief nudity)	Scott Frank
Baadasssss!	84%	91%	Mario Van Peebles,Joy Bryant,T.K. Carter,Terry Crews,Ossie Davis,David Alan Grier,Nia Long,Paul Rodriguez,Saul Rubinek,Vincent Schiavelli,Khleo Thomas,Rainn Wilson,Karimah Westbrook,Sally Struthers,Len Lesser,Jazsmin Lewis,Adam West,Ralph P. Martin,Robert Peters,Glenn Plummer,Khalil Kain,Pamela Gordon,Wesley Jonathan,Joseph Culp,John Singleton,Joan Blair,Penny Bae Bridges,Mandela Van Peebles,E.J. Callahan,Keith Diamond,Don Dowe,Brent Schaffer,Brian "Skinny B" Lewis,Mickey Mello,Christopher Michael,Tyrone M. Mitchell,Alan James Morgan,David Alan Smith,Nathan Wetherington,Robin McLiam Wilson,Robin Wilson,Paul Roach,Bridget Avildsen,Marley Van Peebles,Craig Jones,Maya Van Peebles,Kate Krystowiak,Anthony P. Rodriguez,Thomas Longo,Robert Yosses,Danny Hebert,Michele Hill,Les Miller,Bob Primes,Buzzxsassy,Robert Primes,Rey Diogo	NA	NA	Sep 7, 2003 wide	Drama	Sony Pictures Classics	Mario Van Peebles	109 minutes	$300,000	R (for pervasive language and some strong sexuality/nudity)	Mario Van Peebles, Dennis Haggerty
Baby Face	81%	100%	Barbara Stanwyck,George Brent,Donald Cook,Arthur Hohl,John Wayne,Henry Kolker,Margaret Lindsay,Douglas Dumbrille,Theresa Harris,Alphonse Ethier,James Murray,Renee Whitney,Robert H. Barrat,Nat Pendleton,James Bush,Harry Gribbon,Charles Coleman,Arthur DeKuh,Cecil Cunningham,Frank Darien,Maynard Holmes,Reginald Mason,Spec O'Donnell,Charles Sellon,Harry Semels,Harry Tenbrook,Edward Van Sloan,Harry Wilson,Toby Wing,Walter Brennan	NA	NA	Jun 23, 1933 wide	Classics,Drama	MGM	Alfred E. Green	70 minutes	NA	NR	Gene Markey, Kathryn Scola, Darryl F. Zanuck
Bad Ass	39%	20%	Danny Trejo,Ron Perlman,Joyful Drake,Charles S. Dutton,John Duffy,Patrick Fabian,Shalim Ortiz,Harrison Page,Richard Riehle,Danny Woodburn,Patricia De Leon	NA	NA	Apr 13, 2012 limited	Action & Adventure	IDP/Samuel goldwyn Films	Craig Moss	90 minutes	NA	R (for violence, some torture, pervasive language, and some sexual content/nudity)	Craig Moss, Elliot Tishman
Bad Day at Black Rock	88%	97%	Spencer Tracy,Robert Ryan,Anne Francis,Dean Jagger,Walter Brennan,Ernest Borgnine,Lee Marvin,John Ericson,Russell Collins,Walter Sande	NA	NA	Jan 7, 1955 wide	Classics,Drama,Mystery & Suspense	MGM Home Entertainment	John Sturges	82 minutes	NA	NR	Don McGuire, Millard Kaufman
Bad Moms	63%	58%	Mila Kunis,Kristen Bell,Kathryn Hahn,Christina Applegate,Emjay Anthony,Jada Pinkett Smith,Jay Hernandez,Annie Mumolo,Oona Laurence,David Walton,Clark Duke,Wendell Pierce,Leah McKendrick,Megan Ferguson,Lyle Brocato,Wanda Sykes,J.J. Watt,Ann Mahoney,Samantha Beaulieu,Yuka Takara,Jackie Tuttle,Adria Tennor,Kelly Lind,Lena Clark,Karmen Capella,Donna DuPlantier,Lindsey Garrett,Angela Larson,Christina DeRosa,Shauna Rappold,Lara Grice,Elizabeth Elkins,Carrie Lazar,Nina Millin,Yan Feldman,Jaylen Moore,David E. Simpson,Turner Crumbley,Billy Slaughter,Meghan Wolfe,Jay Jablonski,Dickson Obahor,Lajessie Smith,Eugenia Kuzmina,Mary Margaret McCloud,Lilly Singh,Harry Beckstead,Xanthus Valan,Martha Stewart,Colin Egglesfield,Elvira Kunis,Karen Hahn,Nancy Priddy,Adrienne Banfield,Lorelei Bell,Alice Mumolo	NA	NA	Jul 29, 2016 wide	Comedy	Block Entertainment	Jon Lucas, Scott Moore	101 minutes	$113,217,955	R (for sexual material, full frontal nudity, language throughout, and drug and alcohol content)	Jon Lucas, Scott Moore
Bad Words	61%	65%	Jason Bateman,Kathryn Hahn,Rohan Chand,Allison Janney,Ben Falcone,Rachael Harris,Philip Baker Hall,Judith Hoag,Beth Grant,Steve Witting,Gwen Parden,Anjul Nigam,Allan Miller,Bob Stephenson,Patricia Belcher,Matthew Zhang,Madison Hu,Michael Patrick McGill,Mychael Bates,Greg Cromer,Kimleigh Smith,Ethan Dizon,Emily Sarah Carlson,Jacquie Barnbrook,Mak Krikscuin,Sofia Nam,Lucky Davis,Terry Shusta,Connor Kalopsis,Amanda Anka,Tanner Goad,William M. Maltz,Gregory Sutton	NA	NA	Mar 28, 2014 wide	Comedy	Focus Features	Jason Bateman	89 minutes	NA	R (for crude and sexual content,language and brief nudity)	Andrew Dodge
Bakery in Brooklyn	18%	43%	Aimee Teegarden,Krysta Rodriguez,Blanca Suárez,Ernie Sabella,Linda Lavin,Griffin Newman,Ward Horton,Anthony Chisholm,Aitor Luna,Franklin Ojeda Smith,Enrique Arce,Gerry Vichi,Robert C. Kirk,Teodorino Bello,Pat Patterson,Anthony Alessandro,Teodorina Bello,Joel Rooks,Letty Serra,Claudia Robinson,Jamieson Stern,Jane Strauss,Robert Spence,Robert Spencer,Joe Fusco,Aaron Gonzalez,Ben Wood	NA	NA	Jan 20, 2017 limited	Comedy	Bullet Pictures	Gustavo Ron	100 minutes	NA	NR	Francisco Zegers, Gustavo Ron
The Ballad of Cable Hogue	81%	93%	Jason Robards,Stella Stevens,David Warner,Strother Martin,Slim Pickens,L.Q. Jones,Peter Whitney,R.G. Armstrong,Gene Evans,William Mims,Kathleen Freeman,Susan O'Connell,Vaughan Taylor,Max Evans,James Anderson,Felix Nelson,Darwin Lamb,Mary Munday,Matthew Peckinpah,Victor Izay	NA	NA	May 13, 1970 wide	Action & Adventure,Classics,Comedy,Western,Romance	Warner Bros. Pictures	Sam Peckinpah	121 minutes	NA	R	Johnny Crawford, Edmund Penney, John Crawford
The Ballad of Jack and Rose	62%	48%	Daniel Day-Lewis,Catherine Keener,Camilla Belle,Paul Dano,Ryan McDonald,Jena Malone,Beau Bridges,Jason Lee,Susanna Thompson,Anna Mae Clinton	NA	NA	Mar 25, 2005 wide	Drama	IFC Films	Rebecca Miller	111 minutes	$578,570	R (for language, sexual content and some drug material)	Rebecca Miller
Ballplayer: Pelotero	87%	88%	John Leguizamo,Miguel Angel Sano,Juan Carlos Batista	NA	NA	Jul 13, 2012 limited	Documentary,Drama	Strand Releasing	Ross Finkel, Trevor Martin, Jonathan Paley	72 minutes	$44,689	NR	NA
Balls of Fury	32%	22%	Dan Fogler,Christopher Walken,George Lopez,Maggie Q,James Hong,Terry Crews,Robert Patrick,Diedrich Bader,Aisha Tyler,Cary-Hiroyuki Tagawa,Thomas Lennon,Brett DelBuono,Jason Scott Lee,Toby Huss,David Holmes,Dave Holmes,Heather DeLoach,David Koechner,Kerri Kenney-Silver,Floyd Van Buskirk,Floyd VanBuskirk,Jenny Robertson,Patton Oswalt,Jim Lampley,Mather Zickel,La Na Shi,Jim Rash,David Proval,Philippe Durand,Masi Oka,Brandon Molale,Guy Stevenson,Steve Little,Cathy Sim,Greg Joung Paik,Cathy Shim,Eugene Choy,Matt Sigloch,Marisa Tayui,Mark Hyland,Justin Lopez,Irina Voronina,Darryl Chan	NA	NA	Aug 29, 2007 wide	Action & Adventure,Comedy	Focus/Rogue Pictures	Robert Ben Garant	90 minutes	$32,844,290	PG-13 (for crude and sex-related humor, and for language)	Thomas Lennon, Robert Ben Garant
Au Hasard Balthazar	86%	100%	Anne Wiazemsky,François Lafarge,François Lafarge,Philippe Asselin,Nathalie Joyaut,Walter Green,Jean-Claude Guilbert,Pierre Klossowski,François Sullerot,M.C. Fremont,Jean Remignard	NA	NA	May 25, 1966 wide	Art House & International,Drama	Criterion Collection	Robert Bresson	95 minutes	NA	NR	Robert Bresson
Bambi II	60%	50%	Patrick Stewart,Alexander Gould,Keith Ferguson,Brendon Baerg	NA	NA	Jan 1, 2006 wide	Animation,Kids & Family	DisneyToon Studios	Jim Ballantine, Brian Pimental	72 minutes	NA	G	Brian Pimental, Alicia Kirk
Bandolero	51%	20%	James Stewart,Dean Martin,George Kennedy,Raquel Welch,Andrew Prine,Clint Ritchie,Denver Pyle,Tom Heaton,Ruby Diaz,Rudy Diaz,Sean McClory,Perry Lopez,Jock Mahoney,Harry Carey Jr.,Roy Barcroft,Will Geer,Don 'Red' Barry,Guy Raymond,Dub Taylor,Big John Hamilton,Robert Adler,John Mitchum,Thomas Heaton	NA	NA	Jun 1, 1968 limited	Action & Adventure,Art House & International,Classics,Western	20th Century Fox	Andrew V. McLaglen	106 minutes	NA	PG-13 (for violence.)	James Lee Barrett
The Band Wagon	82%	100%	Fred Astaire,Cyd Charisse,Jack Buchanan,Nanette Fabray,Oscar Levant,James Mitchell,Robert Gist,Thurston Hall,Ava Gardner,Leroy Daniels,Jack Tesler,John Lupton,Owen McGiveney,Sam Hearn,Herb Vigran,Emory Parnell,Ernest Anderson,Frank J. Scannell,Stuart Wilson,Roy Engel,Al Hill,Paul Bradley,Bobby Watson,Lotte Stein,Smoki Whitfield,Richard Alexander,Al Ferguson,Betty Farrington,Bess Flowers,Julie Newmar,Dee Turnell,Elynne Ray,Peggy Murray,Judy Landon,Jimmy Thompson,Bert May	NA	NA	Aug 7, 1953 wide	Classics,Comedy,Drama,Musical & Performing Arts	MGM Home Entertainment	Vincente Minnelli	112 minutes	NA	NR	Adolph Green, Betty Comden
Banksy Does New York	75%	100%		NA	NA	Oct 11, 2014 wide	Documentary	Matador Content	Chris Moukarbel	75 minutes	NA	NR	NA
Barbershop 2: Back in Business	48%	69%	Ice Cube,Cedric the Entertainer,Sean Patrick Thomas,Eve,Harry J. Lennix,Troy Garity,Michael Ealy,Leonard Earl Howze,Queen Latifah,Troy Garrity,Harry Lennix,Robert Wisdom,Jazsmin Lewis,Carl Wright,DeRay Davis,Kenan Thompson,Garcelle Beauvais,Sam Sanders,Keke Palmer,Jackie Taylor,Julanne Chidi Hill,Linara Washington,Marcia Wright,Javon Jackson,Parvesh Cheena,Tom Wright,Norm Van Lier,Chris Tinsey,Brian Weddington,Jay Deep,Tamara Anderson,Leon S. Rogers Jr.,James David Shanks,Allen Edge,David Newman,Mark Simmons,Rome Anthony,Max Arciniega Jr.,Llou Johnson,Ray Thompson,Ronnel Taylor,Pierre S. Reed,Barrie D. Buckner Jr.,Devan Jones,Rich Pierrelouis,Marvin E. Nelson,David Pompeii,Ron OJ Parson,Phillip Edward VanLear,Paul Christopher Hobbs,Chavez Ravine,E.J. Murray,Bradley Armacost,Tiffany L. Addison,Mike McNamara,Clifton Williams,Antonio Polk,Lauren Palmer,China L. Colston,Avant,Byron Glenn Willis,T'Shaun Laren,Tai'Isha David,Cory S. Stewart,Olumiji Olawumi,Susan Yoo,Joe Yau,Dick Johnson,Cynthia Maddox,Deon Cole,Vanessa Fraction,Janina Gavankar,DeAnna N.J. Brooks,Charla Agers,Talia Toms,Corey L. Hemingway Sr.,Nicole L. Sullivan,Mario K.P. Wilson	NA	NA	Jan 20, 2004 wide	Comedy	MGM	Kevin Rodney Sullivan	106 minutes	$64,955,956	PG-13 (for language, sexual material and brief drug references)	Don D. Scott, Kevin Rodney Sullivan, Norman Vance, Jr.
Barbershop: The Next Cut	67%	90%	Ice Cube,Cedric the Entertainer,Regina Hall,Sean Patrick Thomas,Eve,Anthony Anderson,Jazsmin Lewis,Common,Nicki Minaj,Troy Garity,Lamorne Morris,Utkarsh Ambudkar,Margot Bingham,Deon Cole,Michael Rainey Jr.,Diallo Thompson,Tyga,Jamal Woolard,Renell Gibbs,Felicia O'Dell,Hallie Ricardo,Elizabeth Dozier,Reggie Brown,Christin Rankins,Charles Black,Yusuf Gatewood,Timon Kyle Durrett,Deborah Ayorinde,Chala Savino,Brad Sanders,Christin D. Rankins,Marcia Wright,Quinn McPherson,Torion Sellers, II,Moses Jones,Erique Mitchell,Isaiah John,Lindsey Ward,N. Kozmo Miller,Hayden Obligacion,Winston Brooks,Robert Crayton,Selina Laffinette,Peter M. Rosenberg,Cordelius Parks	NA	NA	Apr 15, 2016 wide	Comedy	Warner Bros. Pictures	Malcolm D. Lee	112 minutes	$54,014,580	PG-13 (for sexual material and language)	Kenya Barris, Tracy Oliver
The Barefoot Executive	49%	83%	Kurt Russell,Joe Flynn,Harry Morgan,Wally Cox,Heather North,Alan Hewitt,Hayden Rourke,Howard Culver,Raffles the Chimpanzee,John Ritter,Jack Bender,Tom Anfinsen,Hayden Rorke,Raffles Harman,George N. Neise,Morgan Farley,Glenn Dixon,Robert Shayne,Tristram Coffin,Ed Reimers,J.B. Douglas,Ed Prentiss,Fabian Dean,Iris Adrian,Jack Smith,Eve Brent Ashe,Sandra Gould,James Flavin,Peter Renaday,Judson Pratt,Vince Howard,Hal Baylor,Bill Daily,Dave Willock,Anthony Teague,"Smiling" Jack Smith,Edward Faulkner,Pete L. Renoudet	NA	NA	Mar 17, 1971 wide	Classics,Comedy,Kids & Family,Television	Walt Disney Productions	Robert Butler	96 minutes	NA	G	Joseph L. McEveety
Barking Water	65%	60%	Richard Ray Whitman,Casey Camp-Horinek,Jon Proudstar,John Proudstar,Aaron Riggs,Quese Imc,Ryan Redcorn,Laura C. Spencer,Beau Harjo,Bebe Harjo,Rockhead Lyndsey,Gabriel Jerome Pelayo,Fiawna Forté,Lori Lynne Cross	NA	NA	Jan 17, 2009 wide	Drama	New Video Group	Sterlin Harjo	85 minutes	NA	NR	Sterlin Harjo
Barney's Version	78%	80%	Paul Giamatti,Rosamund Pike,Minnie Driver,Dustin Hoffman,Rachelle Lefevre,Mark Camacho,Scott Speedman,Bruce Greenwood,Macha Grenon,Jake Hoffman,Anna Hopkins,Mark Addy,Saul Rubinek,Thomas Trabacchi,Clé Bennett,Harvey Atkin,Linda Sorenson,Maury Chaykin,Massimo Wertmuller,Larry Day,Howard Jerome,Howard Rosenstein,Paul Gross,Atom Egoyan,David Cronenberg,Denys Arcand,Ted Kotcheff	NA	NA	Jan 14, 2011 limited	Art House & International,Comedy,Drama	Sony Classics	Richard J. Lewis	132 minutes	$7,501,404	R (for language and some sexual content)	Mordecai Richler, Michael Konyves
Batman: The Killing Joke	46%	43%	Kevin Conroy,Mark Hamill	NA	NA	Jul 25, 2016 limited	Action & Adventure,Animation,Drama	The Answer Studio	Sam Liu	72 minutes	$442,331	R (for some bloody images and disturbing content)	Bob Kane, Bill Finger, Alan Moore, Brian Bolland, Jerry Robinson, Brian Azzarello
Battle: Los Angeles	48%	35%	Aaron Eckhart,Bridget Moynahan,Ramon Rodríguez,Michael Peña,Will Rothhaar,Michelle Rodriguez,Adetokumboh M'Cormack,Cory Hardrict,James Liao,Jim Parrack,Gino Anthony Pesi,Ne-Yo,James Hiroyuki Liao,Kenneth A. Brown,Noel Fisher,Bryce Cass,Neil Brown, Jr.,Taylor Handley,Joey King,Lucas Till,Kenneth Brown Jr.,Jadin Gould,Joe Chrest,Rus Blackwell,Susie Abromeit,Beth Keener,Brandi Coleman,Jessica Heap,Dave Jensen,E. Roger Mitchell,Stacey Turner,Tom Hillmann,Chris Lena Clark,Lena Clark,Jamie Norwood,Todd Cochran,Nzinga Blake,Taryn Southern,Jim Dever	NA	NA	Mar 11, 2011 wide	Action & Adventure,Science Fiction & Fantasy	Sony Pictures/Columbia Pictures	Jonathan Liebesman	116 minutes	$83,537,651	PG-13 (for sustained and intense sequences of war violence and destruction, and for language)	Christopher Bertolini, Chris Bertolini
Battle of the Brave	31%	17%	Noémie Godin-Vigneau,David La Haye,Sébastien Huberdeau,Juliette Gosselin,Gérard Depardieu,Bianca Gervais,Irène Jacob,Vincent Perez (III),Jason Isaacs,Tim Roth,Colm Meaney,Pierre Lebeau,Isabelle Rictor,William Merasty,Monique Mercure,Marie-Helene Montpetit,Patrick Goyette,Johanne Fontaine,Billy Merasty,Isabel Richer,Johanne-Marie Tremblay	NA	NA	NA	Classics,Drama	Sony Pictures Entertainment	Jean Beaudin	102 minutes	NA	PG-13	NA
Battle for Brooklyn	73%	79%	Daniel Goldstein,Shabnam Merchant,Patti Hagan,Letitia James,Norman Siegel,Marty Markowitz,Bruce Ratner,Michael Bloomberg,Bruce Bender,Sita Goldstein	NA	NA	Jun 17, 2011 limited	Documentary,Drama,Special Interest	Independent Pictures	Michael Galinsky, Suki Hawley	93 minutes	NA	NR	NA
Battle in Seattle	64%	56%	Charlize Theron,Woody Harrelson,Ray Liotta,Martin Henderson,André Benjamin,Connie Nielsen,Michelle Rodriguez,Jennifer Carpenter,Joshua Jackson,Tzi Ma,Isaach De Bankolé,Ivana Milicevic,Channing Tatum,Rade Serbedzija,Haskell Wexler	NA	NA	Sep 19, 2008 wide	Action & Adventure,Drama	Redwood Palms Pictures	Stuart Townsend	98 minutes	NA	R (for language and some violence)	Stuart Townsend
Battle of the Bulge	68%	67%	Henry Fonda,Robert Shaw,Robert Ryan,Dana Andrews,George Montgomery,Ty Hardin,Anna Maria Pier Angeli,Barbara Werle,Charles Bronson,Werner Peters,Hans Christian Blech,James MacArthur,Telly Savalas,Karl Otto Alberty,Steve Rowland,Robert Woods,Donald Pickering,Janet Brandt,William Conrad,Carl Rapp,Axel Anderson,Ben Tatar,Victor Brandt,Richard Baxter,John Clark	NA	NA	Dec 16, 1965 wide	Action & Adventure,Classics,Drama	WARNER BROTHERS PICTURES	Ken Annakin	90 minutes	NA	NR	Milton Sperling, Philip Yordan, John Melson, Bernard Gordon
Battle Royale II	29%	30%	Ai Maeda,Tatsuya Fujiwara,Natsuki Kato,Shûgo Oshinari,Ayana Sakai,Ai Iwamura,Haruka Suenaga,Minoru Murata,Takeshi Kitano,Yuma Ishigaki,Yuma Ishigaki,Miyuki Kanbe,Masaya Kikawada,Riki Takeuchi,Sonny Chiba,Yoko Maki,Yuki Ito,Natsuki Kato,Aki Maeda	NA	NA	NA	Action & Adventure,Art House & International,Drama	Gaga Productions	Kenta Fukasaku, Kinji Fukasaku	132 minutes	NA	R	Kenta Fukasaku, Norio Kida, Koushun Takami
Beautiful Boxer	88%	81%	Asanee Suwan,Sorapong Chatree,Sorapong Chatri,Orn-Anong Panyawong,Nukkid Boonthong,Sitiporn Niyom,Natcha Bootsri,Kyoko Inoue,Keagan Kang,Somsak Tuangmukda,Yuka Hyodo,Somsak Tuangmkuda,Tanyabuth Songsakul	NA	NA	Feb 18, 2005 limited	Action & Adventure,Art House & International,Drama	Regent Releasing	Ekachai Uekrongtham	108 minutes	NA	NR	Ekachai Uekrongtham, Desmond Sim Kin Jim, Desmond Sim Kim Jin
Beautiful Boy	56%	69%	Maria Bello,Michael Sheen,Alan Tudyk,Moon Bloodgood,Austin Nichols,Kyle Gallner,Deidrie Henry,Bruce French,Logan South,Nigel Gibbs,Cody Wai-Ho Lee,Jessie T. Usher,Davidson Park,Caleb Pearson,Joshua Shannon,Darren O'Hare,Myra Turley,Bella King,Meat Loaf,Drake Kemper,Mary Jane Gibson,Kylie Anderson,Tor Campbell,Judith DiGiacomo,Joe Dioletto,Stephen Murano,Josephine Ullrich,Philip Zurfluh,Kelli Kirkland Powers,Brooke Lyons,Michael Call,Gregory H. Alpert,David Lipper	NA	NA	Jun 3, 2011 limited	Drama	Anchor Bay Films	Shawn Ku	100 minutes	$77,247	R (for some language and a scene of sexuality)	Shawn Ku, Michael Armbruster
Beautiful Kate	63%	83%	Bryan Brown,Rachel Griffiths,Ben Mendelsohn	NA	NA	Jul 30, 2010 wide	Art House & International,Drama,Mystery & Suspense	Roadshow Films	Rachel Ward	90 minutes	NA	R (for strong sexual content and nudity, language and some violent images)	NA
Beautiful Losers	68%	64%	Aaron Rose,Barry McGee,Ed Templeton,Harmony Korine,Chris Johanson,Margaret Kilgallen,Mike Mills,Stephen Powers II,Geoff McFetridge,Thomas Campbell,Shepard Fairey,Jo Jackson,Cheryl Dunn,Clare E. Rojas,Deanna Templeton	NA	NA	Sep 5, 2008 limited	Documentary,Musical & Performing Arts,Special Interest	Sidetrack Films	Aaron Rose, Joshua Leonard	90 minutes	NA	NR	NA
Beauty And The Beast	53%	33%	Vincent Cassel,Léa Seydoux,André Dussollier,Eduardo Noriega,Myriam Charleins,Audrey Lamy,Sara Giraudeau,Jonathan Demurger,Nicolas Gob,Louka Meliava,Yvonne Catterfeld,Dejan Bucin,Wolfgang Menardi,Mickey Hardt,Arthur Doppler,Elisabeth Bogdan,Marie Gruber,Gotthard Lange,Max Volkert Martens,Richard Sammel,Nora Huetz,Micha Bornhütter,Olivier Jurhs,Mike Möller,Thomas Hacikoglu	NA	NA	Sep 23, 2016 limited	Mystery & Suspense,Science Fiction & Fantasy,Romance	Shout! Factory Films	Christophe Gans	112 minutes	NA	PG-13 (for some action violence, peril and frightening images)	Christophe Gans, Sandra Vo-Anh
Beauty and the Beast	81%	71%	Emma Watson,Dan Stevens (IV) ,Luke Evans,Kevin Kline,Josh Gad,Ewan McGregor,Stanley Tucci,Gugu Mbatha-Raw,Audra McDonald,Ian McKellen,Emma Thompson	NA	NA	Mar 17, 2017 wide	Drama,Musical & Performing Arts,Science Fiction & Fantasy,Romance	Walt Disney Pictures	Bill Condon	129 minutes	$503,974,884	PG (for some action violence, peril and frightening images.)	Evan Spiliotopoulos, Stephen Chbosky
Beau Geste	85%	100%	Gary Cooper,Ray Milland,Robert Preston,Susan Hayward,Brian Donlevy,J. Carroll Naish,Albert Dekker,Broderick Crawford,Charles Barton,James Stephenson,Heather Thatcher,G.P. Huntley Jr.,James Burke,Henry Brandon,Arthur Ayleswofth,Harry Woods,Harold Huber,Stanley Andrews,Donald O'Connor,Billy Cook,Martin Spellman,David Holt,Ann Gillis,Harvey Stephens,Barry Macollum,Ronnie Rondell,Frank Dawson,George Chandler,Duke Green,Jerome Storm,Joe Whitehead,Harry Worth,Nestor Paiva,George Regas,Francis McDonald,Carl Voss,Thomas E. Jackson,Joe Bernard,Bob Perry,Larry Lawson,Henry Sylvester,J.W. Cody,G.P. Huntley,Joe Collings,Gladys Jeans	NA	NA	Sep 15, 1939 wide	Action & Adventure,Classics,Drama	Paramount Pictures	William Wellman	114 minutes	NA	PG	Robert Carson
Because I Said So	65%	4%	Diane Keaton,Mandy Moore,Gabriel Macht,Tom Everett Scott,Lauren Graham,Piper Perabo,Stephen Collins,Ty Panitz,Zachary Gordon,Colin Ferguson,Tony Hale,Matt Champagne,Sophina Brown,Karen Leigh Hopkins,Gerald Downey,Emily Maisano,Ingrid Sanai Buron,Satya Lee,Alexis Rhee,Tuan Shu Lan,Steve Little,Parvesh Cheena,John Ross Bowie,Doug Budin,Willam Belli,Carlo Michael Mancini,Mary Pat Gleason,Judi Barton,Rudolph Willrich,David Purdham,P.J. Byrne,Edith Jefferson,Holly Westen,Nate Petre,Allison Caetano,Chris Monberg,David Kitay	NA	NA	Feb 2, 2007 wide	Comedy,Drama,Romance	Universal Pictures	Michael Lehmann	101 minutes	$42,640,890	PG-13 (for sexual content including dialogue, some mature thematic material and partial nudity)	Karen Leigh Hopkins, Jessie Nelson
Becket	88%	76%	Peter O'Toole,Richard Burton,John Gielgud,Martita Hunt,Donald Wolfit,Pamela Brown,Paolo Stoppa,Gino Servi,David Weston,Sian Phillips,Inigo Jackson,Gino Cervi,Felix Aylmer,Véronique Vendell,Gerald Lawson,Jennifer Hilary,Riggs O'Hara,John Phillips,Frank Pettingell,Hamilton Dyce,Linda Marlowe,Patrick Newell,Geoffrey Bayldon,Graham Stark,Victor Spinetti,Magda Knopke,Niall MacGinnis,Percy Herbert,Christopher Rhodes,Peter Jeffrey,Edward Woodward	NA	NA	Mar 11, 1964 wide	Classics,Drama	Slowhand Releasing	Peter Glenville	148 minutes	NA	PG-13 (for some sexual content and violence)	Edward Anhalt, Jean Anouilh
Beer League	58%	27%	Artie Lange,Ralph Macchio,Anthony DeSando,Cara Buono,Jimmy Palumbo,Jerry Minor,Laurie Metcalf,Seymour Cassel,Michael Deeg,Elizabeth Regen,Maddie Corman,Joe Lo Truglio,Louis Lombardi,Frank Pellegrino,Joseph R. Gannascoli,Daniel Tay,Alex Corrado,Jim Breuer,Mary Birdsong,Jim Florentine,George Palermo,Albert deGrasse,Richard Duva,Keisha,Michael Lisenco,Kamal Ahmed,Dana Lorge,Armin Amero,Erik Martin,Nick Di Paulo,Jodi Lennon,Matthew Gumley,Karen Gilbert,Gino Cafarelli,George Seminara,Todd Barry,Hollie Harper,Joanne Joseph,Bill Scheft,Kristi Redford,Natalie Twaddle,Maria Javier,Lauren Hugnou,Jared Burke,David Carney,Francisco Sebastiano,Rosalinda Sebastiano,Christian Sebastiano	NA	NA	Sep 15, 2006 wide	Comedy	Echo Bridge Entertainment	Frank Sebastiano	86 minutes	$475,000	R (for non-stop language including sexual references, sexuality, nudity and drug use.)	Frank Sebastiano, Artie Lange
Beer Wars	70%	67%		NA	NA	Apr 16, 2009 wide	Documentary,Drama,Special Interest	Gravitas	Anat Baron	89 minutes	NA	PG	Anat Baron
